NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TSC22D1	1	Tsc22d1	
NDUFC1	1	Ndufc1	
DIO1	1	Dio1	
PLAAT3	1	Pla2g16	
AOC1	1	Aoc1	
COX4I1	1	Cox4i1	
GNA11	1	Gna11	
TAGLN2	1	Tagln2	
C1QTNF12	1	C1qtnf12	
NDUFS2	1	Ndufs2	
ASAH2B	1	Asah2	
GIMD1	1	Gimd1	
PNP	2	Pnp:Pnp2	
HADH	1	Hadh	
ATP5MF	1	Atp5j2	
PRLR	1	Prlr	
COX7B	1	Cox7b	
TMEM86B	1	Tmem86b	
AADAC	1	Aadac	
HLA-DMA	1	H2-DMa	
SULT1B1	1	Sult1b1	
SEC14L2	1	Sec14l2	
SLC25A3	1	Slc25a3	
NCOR1	1	Ncor1	
HLA-DMB	1	H2-DMb1	
SUCLG1	1	Suclg1	
UQCRB	1	Uqcrb	
